id,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,timestamp
0975b0cd-1eda-4d05-afcc-481119baadaa,-0.77,-0.07,0.11,-35.03,-18.62,-15.38,-9,35,-8,2025-06-09 10:14:43.290+0000
0d3dd7e7-b76b-4798-9ee7-e1590acffa98,-0.94,-0.17,-0.17,48.34,-8.24,-2.69,16,44,-10,2025-06-09 10:13:56.636+0000
3f6fd451-604e-4c29-98a0-ce1cfb659aab,-0.95,0.01,0.03,79.47,2.08,-14.83,-4,40,-15,2025-06-09 10:14:37.243+0000
dc5e693a-ae09-49c4-b1dc-29676b2d6c41,-1.03,-0.05,0.09,74.77,3.85,-16.48,12,38,24,2025-06-09 10:15:27.359+0000
6b3b0241-8562-4c0a-9006-d09f958fcf7d,-1.14,0.16,0.34,-0.37,-0.67,-23.13,23,44,20,2025-06-09 10:14:27.737+0000
37aaa215-65b6-4245-879e-e531b00a301f,-1.16,-0.08,-0.4,-2.01,-23.99,41.44,16,42,18,2025-06-09 10:14:17.208+0000
3a2b541e-13b5-4902-8db1-346345953408,-1.24,0.26,0.11,-1.83,20.69,-42.66,26,42,18,2025-06-09 10:14:17.694+0000
8b49f039-6332-400a-8461-00e8e7277506,-0.76,-0.14,0.16,42.79,-18.31,-2.44,23,41,27,2025-06-09 10:14:10.187+0000
ec4958bd-7bfa-4232-a734-5598ac6b969c,-1.36,-0.21,0.28,3.48,10.5,23.8,5,40,30,2025-06-09 10:15:22.824+0000
b79ecfe9-1887-49fb-9984-7add4e5c919f,-0.81,-0.04,0.07,-37.6,-9.28,14.53,-6,37,-5,2025-06-09 10:14:42.266+0000
010cf9e1-cd9c-4ed6-916b-6ab8906da053,-1.23,-0.53,-0.12,-61.22,9.22,63.96,4,39,25,2025-06-09 10:15:26.334+0000
fa9f1a2e-5a0b-4a7b-8db7-d0ef093eeaf0,-1.07,-0.34,0.02,-7.51,-7.75,-9.09,-3,36,23,2025-06-09 10:15:06.834+0000
703fb7ad-4339-4c87-8d33-d42f77b6dcd9,-0.79,-0.23,-0.48,-40.89,-27.34,6.59,22,41,24,2025-06-09 10:15:30.870+0000
ae64236d-b106-4be8-b116-bd0100d1ddfa,-1.07,-0.02,0.08,63.6,-1.16,-8.61,17,44,-14,2025-06-09 10:14:01.168+0000
bb402423-bd41-4083-b490-cd1b66454a39,-0.65,-0.03,0.02,-15.81,-5.37,-20.87,16,43,-9,2025-06-09 10:13:58.148+0000
dfe363d8-b5ea-4a58-9ec4-5fbdaabf5f0a,-0.67,-0.05,0.04,-11.17,-8.36,-14.65,23,36,20,2025-06-09 10:14:15.210+0000
a334d939-6c17-4d0e-a13a-81470e94b5d5,-1.19,0.16,0.05,-29.66,0.98,1.83,11,38,-12,2025-06-09 10:14:03.167+0000
3c07fc45-aba6-4bf7-acaa-fbce5ee03921,-0.99,0.04,-0.37,-44.25,0.67,32.65,0,41,-4,2025-06-09 10:14:40.753+0000
7f574fff-8615-47da-934e-bb0eace93463,-0.82,-0.16,-0.01,-40.59,17.21,-27.89,8,36,-11,2025-06-09 10:14:02.680+0000
c5b4be9c-ce93-4fe4-8978-da292d369fc5,-1.33,-0,0.13,-0.55,22.22,21.36,5,39,21,2025-06-09 10:15:02.837+0000
ac01547e-cf5d-4f4d-aaba-f4588c89f784,-1.22,-0.2,-0.08,-6.1,-8.85,-13.55,23,42,13,2025-06-09 10:14:25.739+0000
7fc07035-05ca-40f4-ace1-46d51ee31894,-1.37,0.07,-0.28,14.1,22.89,-49.07,0,35,-7,2025-06-09 10:14:35.782+0000
92c12dac-bf7d-4718-a675-7b94993d160d,-0.69,-0.06,0.02,-47.24,3.3,-8.36,4,36,29,2025-06-09 10:15:17.316+0000
dd1cb5fa-eacd-4ead-8ff4-a6167eaed8ad,-0.91,-0.06,0.2,-57.37,-13.61,6.65,-1,41,-14,2025-06-09 10:14:47.775+0000
bffd6c0d-16ea-43ed-92a3-6ed73901ae34,-0.93,0.07,0.19,-64.39,-16.3,1.95,15,37,27,2025-06-09 10:15:27.847+0000
0148d81e-1840-47af-aec7-d2a96f02e6b8,-0.83,0.26,-0.03,39.86,10.01,17.21,18,42,25,2025-06-09 10:14:11.698+0000
a35a7956-fe5f-4929-a989-0f2fd14a2af1,-1.18,-0.31,0.14,-23.93,15.81,-9.28,21,42,20,2025-06-09 10:14:25.251+0000
9afd3be6-ddd0-4f64-95e8-65aec90000a1,-0.69,-0.07,0.1,22.52,-12.7,19.1,13,34,27,2025-06-09 10:15:28.335+0000
d01ce9b5-4bf4-4595-b58e-a0d49514fd0c,-0.95,-0.01,0.25,-36.01,-8.73,16.66,24,35,23,2025-06-09 10:14:14.187+0000
aa7417e2-c981-4b6d-be54-a17782e245e5,-1.35,0.18,0.03,12.94,10.74,-47.79,11,40,32,2025-06-09 10:15:15.318+0000
9cbfc7a1-b2f5-42c1-9832-24c69afec9ba,-0.99,-0.01,0.18,73.55,-7.26,-17.58,1,39,25,2025-06-09 10:15:08.834+0000
51e9aca3-7e50-4ab9-8478-d010fb5a160f,-1.41,-0.05,0.24,-19.71,4.33,-36.13,7,42,27,2025-06-09 10:15:11.808+0000
07ac3647-d5c4-45f6-b741-11ae07bbadd5,-0.86,-0.03,0.1,-36.38,-4.52,10.86,25,42,22,2025-06-09 10:14:18.718+0000
2fb00547-2f20-432f-9f95-4b388334201c,-0.74,0.44,-0.1,17.7,15.75,31.13,-2,35,23,2025-06-09 10:15:18.340+0000
44ec39d8-6e93-486a-8086-afb3e75e9a04,-0.92,-0.06,0.21,-40.59,-0.06,19.65,20,39,-16,2025-06-09 10:13:49.127+0000
080439c6-3177-4747-862e-2cb97fe92cb9,-0.8,-0.42,-0.4,0.79,5.37,-22.71,25,40,23,2025-06-09 10:14:31.247+0000
407b05d3-6bad-496b-8e5c-143ede456bd0,-0.8,-0.12,0.2,32.35,-21.18,-2.38,18,42,23,2025-06-09 10:14:19.206+0000
75ef8575-ae43-4ccd-92dd-32205c3dfda0,-1.48,0.16,-0.19,12.15,15.08,-60.36,4,36,-4,2025-06-09 10:14:50.309+0000
f5090321-4b74-46d8-be59-2c80ae38e424,-0.81,0.07,0.03,29.3,22.58,16.97,27,40,10,2025-06-09 10:14:06.727+0000
1d9eef06-5dda-45b3-bdd2-ef8b785ed306,-0.98,-0.13,-0.08,3.66,9.09,33.63,14,45,-13,2025-06-09 10:13:55.661+0000
1b12fb77-216a-4221-86f7-2833f9ea42c4,-0.82,-0.06,0.1,-39.25,-14.89,-14.34,3,40,29,2025-06-09 10:15:24.336+0000
83f67af7-5956-4588-838f-3f36374fc788,-1.38,0.11,0.1,-8.79,20.08,-35.95,31,39,22,2025-06-09 10:14:22.228+0000
90f4ef54-da59-471e-91ca-29275c4fc559,-0.87,-0.07,0.2,52.55,-15.14,-11.78,8,41,25,2025-06-09 10:15:05.324+0000
c5ad31c8-d400-4a89-b848-7edce53389b0,-0.81,-0.13,0.17,73.12,-7.51,-17.33,26,34,4,2025-06-09 10:14:05.703+0000
b7dd2c5f-fcf2-4339-b8e8-fc3c99c09166,-1,0.05,0.27,2.38,23.32,11.47,31,33,-4,2025-06-09 10:14:05.167+0000
38148327-e545-4cfb-b712-2d1252b32a28,-0.83,-0.09,0.09,38.39,-16.17,11.54,5,41,24,2025-06-09 10:15:13.319+0000
e1fa6111-ed6c-4ea9-8318-082d55788db2,-0.99,0.12,0.17,-121.64,-3.91,3.66,-15,27,9,2025-06-09 10:15:01.327+0000
b18263e2-540b-4764-92a7-cf7df40968e8,-0.98,0.23,0.24,-19.9,-4.76,-11.11,-6,38,-11,2025-06-09 10:14:55.817+0000
cadf6fa0-06b7-4244-8a67-2b8b598e0903,-0.91,0.02,0.12,-26.49,-14.47,-0.98,6,43,-15,2025-06-09 10:13:52.637+0000
92540d19-c73e-404e-85d5-a5e5d17e51a8,-0.84,0.01,0.02,-23.25,0.98,18.86,24,39,18,2025-06-09 10:14:23.253+0000
dc9909e0-aee7-4f1b-8194-7c790cb6093b,-0.5,0.02,0.07,46.39,-20.39,9.52,1,45,-3,2025-06-09 10:14:48.262+0000
3ac795e1-94b2-4c0a-b96f-222140c8a869,-1.17,0.25,0.41,4.15,-3.78,-39.98,13,40,-15,2025-06-09 10:14:00.681+0000
73139460-6f33-43d0-9647-0c23ecc6c2b1,-1.04,-0.32,0.02,39.61,-14.77,-21.06,24,40,17,2025-06-09 10:14:07.165+0000
8e384bc2-ee15-4bad-b965-5b4080304bb2,-0.77,-0.16,0.17,53.83,-16.66,-15.2,9,38,28,2025-06-09 10:15:23.849+0000
da4eaef8-841e-4b13-8dbc-23d1ebb0f45c,-1.1,0,0.27,0.49,14.34,31.19,13,41,-15,2025-06-09 10:14:00.145+0000
69ccf93e-60cd-4663-8b5f-df7e0ef39ecc,-1.01,-0.4,-0.01,45.59,-12.82,2.26,1,38,23,2025-06-09 10:15:12.344+0000
dd936b60-9a78-4c48-9fe3-3c46be3ac532,-1.08,-0.43,-0.08,26.73,-24.96,-5.19,27,38,-13,2025-06-09 10:13:48.688+0000
1cb67918-9b0a-48b3-a9c0-a71bf5db25bf,-1.51,-0.02,0.19,18.07,-1.4,-24.11,25,44,17,2025-06-09 10:14:32.271+0000
4426927a-2af6-4d05-b345-c273ab4879c0,-1.14,0.15,0.14,-0.31,16.05,14.53,12,39,-15,2025-06-09 10:13:50.638+0000
69625cd1-ec7a-4bee-aa81-6e7a9bfc1fe1,-1.08,-0.17,0.04,6.84,0.18,-14.95,11,42,-12,2025-06-09 10:13:54.637+0000
0b37f4e2-d127-4541-84d8-e45e371b395d,-1.04,0.15,0.32,-5.25,-14.83,-23.8,-8,36,-9,2025-06-09 10:14:36.757+0000
eeba94ee-63ce-4aa2-85f6-8ed7bab0f220,-1.04,-0.03,-0.09,-10.8,5.31,-6.84,25,36,20,2025-06-09 10:14:21.253+0000
2c1b6005-7a43-4784-a3a8-d5c1bd70dc4f,-0.93,-0.01,-0.06,73.55,-3.72,-10.38,22,40,21,2025-06-09 10:14:28.225+0000
4f0ecc3c-2892-4fec-80a6-0fc47ef257cb,-0.6,-0.4,-0.42,-37.9,16.42,-6.59,39,38,25,2025-06-09 10:15:30.334+0000
1248f0ad-3a3e-4a53-93a0-ea334ea4930d,-1.26,-0.02,-0.37,-21.36,-26.31,45.23,-1,37,23,2025-06-09 10:15:03.325+0000
d60c1983-b584-4477-a77f-1dcfce3851ef,-0.64,-0.05,-0.01,-49.32,10.38,-15.08,-1,40,-7,2025-06-09 10:14:57.816+0000
5f7b1c0f-f95d-44aa-8431-0098b512f6c9,-0.94,0.12,0.13,-20.75,-4.21,-4.7,2,40,-13,2025-06-09 10:14:46.799+0000
2042382d-b8bf-485b-aba5-1191fadc5824,-1.49,0.09,-0.07,17.64,11.35,-55.6,14,38,29,2025-06-09 10:15:22.337+0000
003c3737-f370-4dea-80c8-e80085f0ed4d,-0.96,0.19,-0.17,14.95,10.5,34.24,-9,36,-10,2025-06-09 10:14:35.245+0000
d4f65a1e-7596-40bc-aa88-11d577f49932,-1.25,-0.07,0.47,-2.32,15.32,24.54,18,40,19,2025-06-09 10:14:18.231+0000
bf1d28ee-3408-4dfe-9dad-bab2529bad3b,-0.76,-0.21,0.15,45.96,-17.27,-7.26,6,33,15,2025-06-09 10:15:20.338+0000
ae98758d-a90b-46bb-8a4a-c3f70370175f,-0.94,-0.08,0.23,-55.73,-21.48,5.74,-1,38,-6,2025-06-09 10:14:56.792+0000
c35c6ad8-d922-4727-a3a5-6486187b3aac,-0.89,-0.08,0.28,33.08,-6.35,-10.38,13,44,-14,2025-06-09 10:13:53.174+0000
4c99e64c-7aff-46f6-aef6-3ba1ad54cb4e,-1.36,0.21,-0.07,-9.16,18.74,60.55,-5,38,-12,2025-06-09 10:14:54.306+0000
705e091c-b6fc-4db4-9aff-5156631751fd,-1.5,0.04,0.31,-1.46,-3.91,-21.18,1,41,-7,2025-06-09 10:14:41.289+0000
5cdd8583-2bd6-4307-a8c0-fea0d82d9514,-1.45,-0.06,0.36,9.4,19.04,31.43,0,38,-12,2025-06-09 10:14:46.263+0000
590edd24-c5a2-4fbe-a329-f4be5d11a183,-0.62,-0.11,0.04,-25.15,-0.18,-16.97,19,44,27,2025-06-09 10:14:10.675+0000
ae101a50-31ad-4b4b-a0ef-a7bb2df1e65c,-1.32,0.14,0.16,15.69,11.29,20.63,15,37,26,2025-06-09 10:15:17.852+0000
d7248740-e98c-401c-b275-6117163f4b3c,-1.02,0.06,0.05,83.44,-7.63,-13.31,-2,41,-9,2025-06-09 10:14:56.304+0000
a5332968-5fc3-41ea-91d1-f090096948c8,-1.38,0.14,-0.21,26,16.54,-62.93,6,31,23,2025-06-09 10:15:18.827+0000
09ecddad-6ac6-4bc2-b558-62dbcfad7088,-1.07,0.12,0,-5.07,2.14,22.83,22,46,18,2025-06-09 10:15:33.843+0000
1299b11c-a9c4-4af6-9af3-12d6fdf14e72,-1.23,0.03,0.35,-29.85,-26.06,-45.59,3,40,24,2025-06-09 10:15:26.822+0000
31a5acd4-b4eb-4c68-a70f-26b44b695f89,-0.79,0.29,-0.17,2.14,16.97,38.76,8,43,30,2025-06-09 10:15:14.831+0000
945c807f-c19e-4f54-9e4e-a20129485ec7,-1.03,-0.19,-0.13,-6.77,6.41,3.97,14,42,24,2025-06-09 10:15:10.833+0000
071b3111-23ec-44c0-84f9-7f24001d2d17,-0.89,-0.14,0.15,49.19,-9.22,0.67,15,45,-9,2025-06-09 10:13:57.659+0000
535cca30-4a78-45e0-b217-9d6c2cfc10ee,-0.89,-0.06,0.19,-34.36,-15.38,-3.54,-4,34,-17,2025-06-09 10:14:52.309+0000
687a1423-a82a-4c0b-96c0-d45a88fc7af1,-1.15,0.2,0.19,1.16,13.31,24.9,10,44,30,2025-06-09 10:15:14.343+0000
26d63ea5-16a6-4163-998c-c0e85bda6a37,-0.87,-0.22,-0.05,-59.2,19.41,-18.92,-3,37,-16,2025-06-09 10:14:53.284+0000
3c4f3da1-5dc4-4c24-b48e-7a0985f2e617,-0.96,0.28,0.34,-27.59,-3.42,-27.04,-11,33,-4,2025-06-09 10:15:00.304+0000
00d1ffb4-6ba1-4563-93c3-3f364b3c4df4,-0.56,0.12,0.07,25.82,0.12,21.18,10,43,29,2025-06-09 10:15:09.809+0000
dbb37ad6-2949-4444-b772-0c66714e260d,-1.24,0.25,-0.12,-13.79,17.58,52.67,17,40,-6,2025-06-09 10:14:03.654+0000
f8a6359c-f472-4535-be7b-f986cb6f2857,-0.86,-0.07,0.2,-43.09,-17.7,3.05,9,43,-13,2025-06-09 10:14:01.656+0000
ca075e3b-49dd-4c0e-bd03-a45c9a741e6b,-1,-0.28,-0.17,-5.55,2.93,23.62,25,38,30,2025-06-09 10:14:12.723+0000
b4e648dd-9a32-4368-bb69-50cca0256389,-0.77,-0.12,-0.07,-56.46,19.96,-15.32,-3,41,-5,2025-06-09 10:14:48.799+0000
a6e29579-965e-4da9-94ca-04ff77ddd6b2,-0.91,-0.27,-0.34,-1.34,18.25,-39.73,13,43,-15,2025-06-09 10:13:55.174+0000
ed39bd3f-a469-4efc-a42a-26edaa8786da,-1.51,-0.02,0.35,1.16,27.83,26.49,3,38,22,2025-06-09 10:15:04.299+0000
932a10a4-3013-43c6-bb3a-1394d3468289,-0.77,-0.04,-0.49,-234.37,-19.17,2.99,31,41,12,2025-06-09 10:14:33.246+0000
28fe0326-8d3e-44ea-a6af-dd0621bcc1a4,-0.83,-0.03,0.12,-28.69,-22.77,-6.96,13,42,-11,2025-06-09 10:13:53.661+0000
03a97556-d0ac-475a-a2e6-e2d6b4a52d3a,-0.95,0.09,0.18,-20.32,-14.47,-9.95,-10,31,-7,2025-06-09 10:14:51.286+0000
4ed15196-6646-49c2-9784-c25a168f0cd1,-0.86,-0.12,0.04,-120,-18.13,-17.21,9,32,-21,2025-06-09 10:14:33.734+0000
901eb069-c6fd-417b-a430-ac79a9bc7ef5,-0.93,-0.04,0.25,-51.88,-8.18,5.19,7,41,23,2025-06-09 10:15:12.832+0000
264847e8-d106-42d4-808f-72ae842ef6e2,-0.8,-0.03,0.08,-35.4,-22.89,-12.51,17,42,24,2025-06-09 10:14:19.742+0000
0a9332ee-a305-4db2-ad39-6b57399e815b,-0.95,-0.04,0.25,-47.42,-5.13,14.95,15,42,-15,2025-06-09 10:13:57.172+0000
536b7078-7010-4ba2-a7d5-61172ebb16fa,-0.97,0.25,0.3,-2.5,-8.12,-17.88,1,40,26,2025-06-09 10:15:08.298+0000
929a4ce4-50d4-44d1-a9b2-d803ab67c30c,-0.48,-0.13,0.03,-16.54,-8.48,-13.98,21,41,21,2025-06-09 10:14:29.737+0000
ce1e926f-3ce9-4202-9e42-e279665cd51d,-0.62,0.02,0.02,23.68,18.01,27.65,4,39,31,2025-06-09 10:15:06.298+0000
54f1bbdd-1c49-47d9-bd15-54f1ebea7aa3,-0.77,0.54,-0.14,1.4,22.03,23.32,15,37,24,2025-06-09 10:15:21.850+0000
1b56f846-7a11-4daa-9ca7-454ef2acfbd4,-0.52,-0.14,0,-25.02,-11.78,-16.05,18,40,-13,2025-06-09 10:13:50.151+0000
d8a2c789-7b40-4af5-816e-5896c2804951,-1.19,-0.38,0.11,-17.76,20.94,32.65,2,41,28,2025-06-09 10:15:07.811+0000
8395250c-3f56-451b-8d5a-435f5dce06ca,-1.07,-0.37,0.02,-21.85,10.99,-18.98,23,37,21,2025-06-09 10:14:20.717+0000
18335da5-9679-4fc8-868e-bc8e5487a7cb,-1.13,-0.05,-0.28,-13.85,31.01,-39,22,37,25,2025-06-09 10:14:12.187+0000
812205bf-2be4-4e8b-986a-a6560cd6487d,-1.29,0,0.33,-6.96,-5.43,-31.62,22,40,25,2025-06-09 10:14:13.210+0000
55cfa604-b2c8-4e2d-8508-fd04f70e5c01,-0.61,0.53,-0.14,7.2,29.42,17.03,1,37,-7,2025-06-09 10:14:58.792+0000
73eed8cc-cd78-41c9-a149-4c53881a609a,-0.71,-0.2,0.26,49.38,-21.06,-13.06,-4,34,-7,2025-06-09 10:14:42.803+0000
6ad95420-ce2d-4e52-b353-e15cbd606faf,-1.19,-0.67,0.16,27.71,-35.1,-3.23,-4,40,-4,2025-06-09 10:14:41.777+0000
b305f23c-4033-482c-91f6-150fa3acdd8a,-1.11,-0.3,0.24,-26.18,-8.73,-7.63,31,37,22,2025-06-09 10:14:32.758+0000
055bc92e-79de-43bb-96b8-6638669fd93f,-1.44,-0.46,0.27,23.13,25.76,42.54,19,41,24,2025-06-09 10:14:27.249+0000
f6135e81-1053-4997-8917-f09826a0c41c,-0.92,-0.01,0.09,-17.03,25.45,39,25,38,23,2025-06-09 10:14:30.273+0000
9c964778-77a3-4d82-b565-a57d70e0517b,-1.18,0.03,0.1,6.65,15.99,28.63,17,34,25,2025-06-09 10:15:21.362+0000
a33fc892-b0f8-44b5-92d1-7efb28d89f30,-1.6,-0.22,0.28,-11.41,16.54,35.16,-2,39,-11,2025-06-09 10:14:36.270+0000
2433fa12-0641-432c-9dcf-80facecbe047,-1.22,-0.02,0.13,-65.55,1.53,39.25,37,40,22,2025-06-09 10:15:29.359+0000
1a5e4820-ba00-4f5d-a834-f31dee0b6455,-0.87,-0.08,0.11,37.96,-20.2,2.01,15,39,-12,2025-06-09 10:13:49.614+0000
e11fe91f-a514-49e3-9c7f-2ad2f4c2b625,-0.62,-0,0.03,-50.48,3.85,-18.25,8,42,24,2025-06-09 10:15:13.807+0000
572b2966-f041-41fe-b86f-81644ddb65f6,-1.37,0.06,0.09,11.84,-5.49,-6.71,-3,37,-8,2025-06-09 10:14:34.757+0000
191a6df9-e97e-4164-9c70-8e6c4926062b,-0.69,0.05,0.02,25.09,28.93,24.54,-2,39,-14,2025-06-09 10:14:39.291+0000
7d2f7b01-0d63-432a-92ab-9a3f1c17edd4,-1.36,-0.02,0.37,12.27,28.14,34.42,5,37,-13,2025-06-09 10:14:55.281+0000
241af424-f435-4781-ba95-d6bc982e40cb,-0.58,-0.06,0.04,18.13,-12.88,-9.77,25,40,15,2025-06-09 10:14:06.191+0000
de6e5781-2eaa-4215-934b-e5f1f82cdc08,-1.62,0.01,0.3,14.34,32.47,36.99,-1,34,-7,2025-06-09 10:14:50.797+0000
04f3eb54-47ec-4627-ad16-4c7364857ae9,-1.03,0.16,0.09,9.03,6.77,15.56,4,40,-4,2025-06-09 10:14:49.286+0000
88cf00b9-afb1-4fbf-877a-091ec04aa6aa,-0.8,0.02,0.05,-13.12,-2.44,11.9,12,39,32,2025-06-09 10:15:23.361+0000
6dc4b986-4801-4d13-80a8-66a64406a6ec,-1.29,0.16,-0.22,21.3,22.89,-44.92,15,45,-17,2025-06-09 10:13:51.662+0000
9e6481f2-a87d-43b9-bec5-353dbd139f4d,-0.71,-0.14,0.09,42.97,-18.07,3.3,2,36,24,2025-06-09 10:15:16.830+0000
cba7581d-2cc3-4a8a-ae84-19eb2cb2484c,-1.46,0.3,-0.16,2.99,16.3,-43.21,-8,35,-12,2025-06-09 10:14:54.794+0000
f0e736fd-715c-43f6-b6be-e138426348c0,-0.83,-0.09,0.17,-61.46,-27.89,-3.05,1,39,28,2025-06-09 10:15:09.322+0000
e82b95da-3bc9-4714-9bc0-7ccd6965aaa8,-1.06,0.04,0.04,-38.39,-5.25,18.07,-1,41,-2,2025-06-09 10:14:53.818+0000
54b4ffde-675c-41ad-97af-ef6e1abe528f,-0.83,0.22,-0.31,-14.47,-4.58,23.62,18,44,16,2025-06-09 10:14:26.226+0000
70a88fd0-165d-436d-b1c5-eb9038b239d1,-0.79,-0.11,0.11,-34.18,-33.2,-16.66,25,37,19,2025-06-09 10:14:24.227+0000
4ed0c1c7-0017-42c4-a03b-92e148a4d482,-0.89,-0.06,0.15,-42.05,-6.35,15.44,6,34,27,2025-06-09 10:15:16.342+0000
cbb6c081-369f-46ff-bd41-2c34f7a7306e,-0.57,0.1,0.03,4.7,14.47,27.04,24,40,23,2025-06-09 10:14:20.229+0000
f63bcbad-4bce-4ad8-bdee-7cfc7c73ec69,-1.02,-0.18,-0.28,-12.08,15.56,-29.85,12,42,-10,2025-06-09 10:13:59.657+0000
0abf032f-feb7-4285-b754-8ef315aedf7e,-0.99,-0.48,0.1,14.89,-36.74,-3.72,24,41,23,2025-06-09 10:14:09.212+0000
592fe95a-d76f-4fb0-a9a7-2378436df56f,-1.08,-0.09,-0.33,-4.33,24.29,-34.79,11,40,28,2025-06-09 10:15:07.322+0000
00cb0b12-6710-429d-ad25-79b903b120ef,-1.49,-0.09,0.31,15.87,26.61,37.11,17,45,-12,2025-06-09 10:13:52.149+0000
485e0c73-c89d-414d-acd8-e09700fec1ec,-0.97,-0.16,0.19,4.46,3.42,-13,-10,33,0,2025-06-09 10:15:00.791+0000
c1c4f9ba-e3ba-4589-86a9-c059da64cb6f,-0.63,0.05,0.14,55.42,-27.47,7.2,2,40,-9,2025-06-09 10:14:38.267+0000
da56bd64-8da7-4e21-9b27-4470d6baacc0,-0.88,-0.01,0.23,68.48,-4.03,-7.14,-6,34,-12,2025-06-09 10:14:51.772+0000
a5795b84-a0a6-41bc-ae81-1fa8729d0967,-0.55,0.05,0.06,24.96,-2.87,13.49,0,36,-8,2025-06-09 10:14:52.796+0000
fa4dddd6-fe88-4115-9a99-24568b82da5f,-0.95,-0.35,-0.05,-47.06,30.88,-12.63,-1,41,27,2025-06-09 10:15:10.346+0000
9d092872-f264-407c-a321-c04e8ceeaf3b,-1.18,0.17,-0.36,3.42,17.33,-40.59,-4,37,-1,2025-06-09 10:14:59.328+0000
2606ea03-b735-4241-8616-5ec6716fbd1f,-1.31,0,0.31,5.62,33.94,35.64,-2,35,-10,2025-06-09 10:14:59.815+0000
93de8314-6389-40d5-acce-8a888ac95277,-1.19,-0.04,0.06,-9.95,21.91,39.55,13,39,28,2025-06-09 10:15:24.823+0000
6d0beb0b-6e65-4532-8cfc-7204165c75bb,-0.47,0.13,0.05,20.2,-0.79,22.03,-2,37,-7,2025-06-09 10:14:43.777+0000
93748f4e-4913-4c8a-b9c9-ce658523c8ad,-0.67,0.04,0.02,3.66,4.82,-19.41,21,45,19,2025-06-09 10:15:33.356+0000
1d24ce71-6686-4e47-ba3b-2840c360859f,-0.87,0.03,0.1,10.86,20.08,27.16,0,42,-3,2025-06-09 10:14:58.303+0000
2931985f-4868-4a13-9fc3-1fb42107716a,-0.65,0.06,0.13,41.02,-15.38,9.64,12,39,-6,2025-06-09 10:14:02.192+0000
574b9265-9682-48dd-bcf0-1157f7791ae4,-0.87,-0.16,-0.12,38.33,-14.65,-3.85,24,39,22,2025-06-09 10:14:13.699+0000
7cc4d48e-51a7-403e-a57a-fa39ff746126,-1.54,0,0.41,16.05,11.29,27.83,8,31,15,2025-06-09 10:15:19.363+0000
a2bcae2b-bff0-4ad1-a6ee-2bef46345a3c,-0.7,0.07,0.04,7.14,22.71,30.27,34,34,21,2025-06-09 10:14:15.697+0000
c09085ed-d6c1-4233-9c94-bf1703d36d8c,-1.02,-0.23,-0.26,-11.66,-53.59,24.66,16,42,26,2025-06-09 10:15:34.380+0000
577c3886-b909-41ef-938c-3ab17b3b83c8,-1,-0.06,0.03,-107.42,-11.84,-5,-9,37,-17,2025-06-09 10:14:34.270+0000
e94a4776-dd20-40ea-ab21-2ddc45013046,-0.85,-0.02,0.1,-44.31,-2.14,-11.35,0,41,27,2025-06-09 10:15:05.811+0000
edabd5e6-4d58-4401-9cd0-afebfc67a55c,-0.82,-0.11,0.15,50.72,-22.77,8.06,0,38,-7,2025-06-09 10:14:57.279+0000
9640af85-929e-4564-a1e0-5bfdfe626d60,-1.15,-0.27,0.02,23.8,-3.48,-4.7,18,40,22,2025-06-09 10:14:30.759+0000
c565eb2d-14d1-4ccc-ac8d-5a064cb5884d,-0.9,0.05,0.21,-2.2,-2.93,8.24,24,42,8,2025-06-09 10:15:32.381+0000
84831d91-25b8-45c5-9014-3dda4a4fdab2,-0.46,0.18,0.07,0.85,11.54,20.94,33,35,15,2025-06-09 10:14:24.763+0000
