id,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,timestamp
a5c2c04f-31b0-4b06-b360-f4ed80afce38,0.32,-0.03,-0.12,-25.57,26,-47.97,-23,33,19,2025-06-09 10:04:58.729+0000
61713a5a-9e7f-4df2-9edb-d32e72f53675,-1.39,0.08,0.01,47.18,-79.9,-41.81,7,50,6,2025-06-09 10:03:39.557+0000
5399b005-d5f9-4549-9bfe-6f140a92c6c5,-1.25,-0.66,0.22,69.89,-70.8,-8.42,-30,37,12,2025-06-09 10:04:39.666+0000
4f19f2eb-d93e-409b-8167-53eb447c1dd2,0.09,-0.01,-1.31,26.61,157.53,26.73,-6,37,0,2025-06-09 10:03:20.008+0000
a3c05cd9-c00a-472b-9bd0-287cafd03450,-1.15,-0.2,-0.04,44.56,-74.34,-51.03,-25,36,6,2025-06-09 10:04:46.686+0000
e90205a4-81ae-4e19-9394-380b9ed74456,-1.46,-0.17,0.19,-20.63,-13.18,39.67,10,47,14,2025-06-09 10:03:24.005+0000
90138bc7-1158-4037-bddb-2dc117bec85c,-1.36,-0.02,-0.01,58.11,-76.6,-51.7,-30,35,13,2025-06-09 10:04:45.175+0000
4e8b12a9-c71a-47c8-937c-150c5d458a71,0.55,0.15,-0.16,-19.9,-6.29,-49.19,4,50,4,2025-06-09 10:03:38.533+0000
cd4dcb21-2977-4f83-b545-99d051465ef3,-1.59,-0.05,0.09,52.25,-47.67,-1.71,13,52,10,2025-06-09 10:04:13.633+0000
90dd56e3-7304-45e0-8883-6515d1ae6582,-1.37,-0.63,0.2,74.65,-78,-33.45,-29,35,6,2025-06-09 10:04:51.221+0000
fb64be06-1661-4117-aec0-08f6f8769f48,-0.26,-0.22,-0.6,19.47,-25.7,-34.55,9,47,6,2025-06-09 10:03:59.105+0000
8940bcc8-64b9-495d-be86-ea89cc867432,-2.2,-1.25,0.77,28.08,-249.02,-130,15,51,12,2025-06-09 10:03:52.573+0000
d9926772-481d-4ba9-b3b9-e15a1bec8d3f,-1.54,-0.44,0.31,49.44,-78.98,-22.09,-14,32,11,2025-06-09 10:04:19.630+0000
5f570a66-42bb-46d2-b41c-d51208127158,0.34,0.02,-0.42,-31.01,-13.12,-38.82,11,51,6,2025-06-09 10:04:02.079+0000
47b44dbe-adab-4bc7-98f5-34e301c96e93,-0.51,-0.27,0.22,-65.73,-9.09,15.32,-31,38,13,2025-06-09 10:04:27.137+0000
92c6397d-c7d3-4d96-98af-809a74e53472,-1.36,-0.11,-0.01,53.41,-77.94,-33.94,6,48,0,2025-06-09 10:03:41.067+0000
3c8c3be8-71d3-4858-a4f9-9d6372139a3d,-0.94,0.28,0.24,-67.99,3.54,25.63,18,50,15,2025-06-09 10:03:45.066+0000
79c91572-4e2e-4ecd-8ec3-97389e9ee633,-1.44,-0.09,0.06,46.26,-42.3,-26.43,-14,41,-7,2025-06-09 10:03:17.473+0000
f6e010dc-0ee1-46eb-ab83-af9c04e2e900,-1.68,-0.05,0.21,-1.65,-8.42,28.56,-32,32,3,2025-06-09 10:05:03.214+0000
b91c8b66-cc1e-4382-8139-b012e20a5697,-1.5,0.16,-0.09,56.34,-17.88,-17.03,11,49,4,2025-06-09 10:04:01.592+0000
b6649273-5e5b-4777-ac19-c9fa42945981,-0.01,0.13,-0.51,-75.87,4.09,3.78,5,48,4,2025-06-09 10:04:12.609+0000
4491c6d7-589a-4785-b7b0-a37ae2aad0c4,0.4,0.34,-0.34,-23.93,-54.5,-64.27,8,49,8,2025-06-09 10:04:05.103+0000
65dbb519-4d74-4616-aa76-f2c5627c002b,-1.75,-0.5,0.08,-70.5,-22.34,45.35,-31,36,10,2025-06-09 10:04:41.665+0000
a93248ce-478f-4775-a7fc-0c38abaeef6f,-0.85,-0.02,0.31,-19.96,47.85,12.82,14,49,7,2025-06-09 10:03:59.593+0000
35badb05-39ca-4eb8-b7ce-85ee5266c9d5,0.16,0.02,-0.12,-24.17,-19.41,-67.75,-25,37,17,2025-06-09 10:04:44.201+0000
f3d838df-8aaf-4d65-b52d-eb16feb19ed2,-2.14,-0.45,0.14,40.41,-65,-34.42,-26,40,4,2025-06-09 10:05:09.258+0000
88e0631f-dbe1-4b60-b1fe-418730a3d637,-1.16,0.02,-0.02,69.64,-70.74,-56.27,-24,36,16,2025-06-09 10:04:58.192+0000
3bbd22ab-6b2c-41de-8cde-59ddfacc059e,-1.1,0.02,-0.07,63.84,43.03,13.67,-25,29,12,2025-06-09 10:05:01.215+0000
57db2088-6035-406a-8e42-4e488a3474ab,-4,-1.04,-1.09,-109.5,40.47,-7.08,7,48,15,2025-06-09 10:03:49.551+0000
a3031420-f09d-43d8-a17e-784b83d687ee,-0.03,0.31,-1.5,9.95,12.94,-18.13,-30,38,15,2025-06-09 10:04:19.142+0000
1c17c367-8262-4b22-89f5-2315e41d3c92,-1.5,0.09,-0.16,33.81,12.21,9.34,9,49,5,2025-06-09 10:04:00.080+0000
5cd01eb8-10a2-4d42-8a1c-ab6b9129e05c,-1.71,0.14,-0.17,-150.09,91.61,-20.02,14,49,9,2025-06-09 10:03:37.559+0000
61eb053d-2177-4857-92f5-5e0d501f0e25,0.02,0.18,-0.27,6.96,-15.87,-32.71,5,50,5,2025-06-09 10:03:41.555+0000
28d41a95-5cd3-4980-9524-b37a7c5148f9,-1.05,-0.47,0.18,-69.46,-3.3,42.24,5,49,13,2025-06-09 10:03:55.059+0000
2e052398-1cb9-47ba-9e69-465a65e2aa6e,-0.67,0.27,-0.09,-30.58,40.28,30.58,24,43,16,2025-06-09 10:03:30.002+0000
fc81d914-ce61-4a30-a903-fc07dda14d2d,-0.26,0.12,0.11,-37.41,-1.16,25.39,-33,36,10,2025-06-09 10:04:51.708+0000
df39be50-f143-47a9-a20b-161d7f98388d,-0.07,0.26,-0.28,-48.16,-19.96,-7.63,14,39,12,2025-06-09 10:04:14.121+0000
bd0c25a5-03f2-4c63-a186-94fa92a216df,-2.34,-1.77,0.65,62.93,-327.88,-85.02,-33,35,15,2025-06-09 10:04:46.199+0000
8ecd1daf-11d2-4fbe-8ab0-df0510a5e246,0.19,0.16,-0.16,-76.66,-1.04,-24.54,-25,35,15,2025-06-09 10:04:37.181+0000
d64b369d-b33e-4f39-96c0-0751bebc370c,-0.44,-0.08,0.06,-12.76,8.97,19.53,-33,33,14,2025-06-09 10:05:00.240+0000
d4f98040-7493-470b-89cb-befd4beda807,-0.1,0.18,-0.25,-58.84,10.31,-15.26,1,41,4,2025-06-09 10:04:15.632+0000
8124f9c0-f0c2-4728-b0ed-14e6edc67dff,0.39,0.02,-0.16,-6.29,7.63,-34.3,13,48,4,2025-06-09 10:03:40.044+0000
c8e3abff-38df-433a-905d-57b502950539,-1.47,-0.42,-0.16,-99.67,112.06,1.04,-25,41,4,2025-06-09 10:04:33.183+0000
dc9421d5-c0bb-426a-b072-0eda669dbb85,-1.7,-0.22,0.17,-62.13,-14.22,73,9,49,8,2025-06-09 10:03:56.571+0000
a2e6d43c-4e91-408d-88e2-c681e4035562,-1.34,-0.53,0.13,83.31,-13.55,-25.39,-31,35,15,2025-06-09 10:04:28.161+0000
73a2c4cf-9125-4c97-92fe-a7c6c03b9ee9,0.28,-0.02,-0.04,-47.73,14.22,-62.74,12,46,10,2025-06-09 10:03:35.559+0000
cc1def1e-1095-4da7-8a16-e92dd778a147,-2.98,-0.64,-0.58,-82.4,176.21001,19.41,10,46,14,2025-06-09 10:03:33.024+0000
557520e2-f21c-4ac8-bc8a-0126ef77b97e,-0.12,0.28,-1.2,79.9,-15.44,-33.81,-31,38,12,2025-06-09 10:04:26.162+0000
027f8e50-ac91-4801-9eea-4266a24f88c5,-0.97,-0.1,-0.21,8.06,41.08,3.05,-30,36,0,2025-06-09 10:04:42.201+0000
84014ef9-1e77-47f5-bce1-c39205b3179e,-0.16,0.23,-0.08,23.38,21,-46.75,7,48,4,2025-06-09 10:03:37.022+0000
3f8101bf-74cd-4b5a-af37-41426fb3e6d4,-1.58,0.03,-0.23,55.36,-91.49,-62.74,-25,36,14,2025-06-09 10:04:23.677+0000
4126bff0-1fe2-4941-89f6-caeec0657234,-0.43,-0.19,-0.27,9.28,25.02,-9.7,22,43,13,2025-06-09 10:03:26.005+0000
65f875d4-63d4-41c9-b7d1-8941a672845a,-1.58,0.04,-0.02,37.72,-27.34,-14.59,9,49,-1,2025-06-09 10:03:42.579+0000
d2c21dfc-6e6a-4b10-b741-0e7f8b511925,-0.24,0.02,-0.52,5.13,-40.95,-55.18,12,49,6,2025-06-09 10:04:00.616+0000
a9606aef-5189-4820-8d1d-bcaaffdb8145,-3.4,-1.05,-0.59,-128.78,125.24,-0.37,16,46,13,2025-06-09 10:03:34.535+0000
06d21aea-f32b-4916-8659-045e45935caf,0.32,-0.3,-0.07,-21.67,136.17,34.91,-21,33,4,2025-06-09 10:05:00.728+0000
b979ebd2-4814-4abd-92de-435b2e47c610,-1.28,0.2,0.06,41.38,-69.64,-46.02,7,49,7,2025-06-09 10:03:50.086+0000
c386dd8f-afca-4f2b-a5fa-609fb33c1f8c,-0.54,-0.13,-0.47,13.18,-18.49,-35.77,-24,35,19,2025-06-09 10:04:42.689+0000
18a1083c-dafd-4005-9597-1416838d3e86,-0.48,-0.29,0.16,-46.75,-20.45,33.63,-25,35,15,2025-06-09 10:04:40.202+0000
4120a006-34db-4ea8-bb46-73a4129f00fb,-2.6,-0.6,-0.34,-80.75,141.78,38.7,-29,38,17,2025-06-09 10:04:24.652+0000
c5afee35-2f13-411e-8f56-f58099bfe739,-0.58,-0.41,-0.45,3.66,86.12,13.67,-21,39,0,2025-06-09 10:04:30.648+0000
4c8a64c9-8b75-492c-8c79-88fdd2926839,-1.43,-0.31,0.15,-55.48,-16.36,37.54,11,48,8,2025-06-09 10:03:58.083+0000
4f545406-de0b-426d-b358-2550b1595c42,-1.34,-0.04,-0.15,32.9,6.41,-6.04,9,50,0,2025-06-09 10:03:58.618+0000
bffbbe5d-175e-466b-bbeb-0c8de72ffafd,-2.79,-0.52,-0.5,-80.02,63.78,6.96,19,50,6,2025-06-09 10:03:48.088+0000
60bb29ae-f10d-4c9c-9007-6eb70873bcac,-1.25,-0.47,0.08,-6.23,-48.58,-25.27,12,45,7,2025-06-09 10:03:36.534+0000
80cd68f6-1ac7-48b9-971e-de8bb422def7,-1.88,-0.62,0.19,31.92,40.65,99.06,-28,32,9,2025-06-09 10:04:54.194+0000
c35c007a-99ae-4298-a504-26e741db9c25,-1.4,-0.4,-0,65.43,-11.78,-7.81,10,38,4,2025-06-09 10:04:15.145+0000
0f648ef1-d9d1-44f4-a728-27f0ea55be36,-0.88,-0.6,0.12,-46.08,-2.08,33.57,-30,32,10,2025-06-09 10:04:53.220+0000
c74106a0-3b24-487f-a91b-6f3909956df0,0.47,0.21,-0.17,-23.74,3.91,-25.63,14,48,17,2025-06-09 10:03:34.047+0000
6ec81b03-e4c1-478e-a7e0-ed3829608496,-1.3,0,0.07,-42.6,88.13,19.84,-20,35,1,2025-06-09 10:05:04.725+0000
141fe5be-70e6-42ba-8582-e34af952c7e5,-1.64,0.09,-0.26,33.08,-47.91,-57.31,11,46,16,2025-06-09 10:03:33.512+0000
30c4526b-4acc-4fed-8356-afccf6f52209,-0.36,0.22,-0.21,-15.62,-7.69,-46.26,-25,38,20,2025-06-09 10:04:22.652+0000
c1ed2c03-d386-4009-8df9-72e94417018b,0.44,-0.28,-0.08,-8.97,151.37,35.58,-28,36,7,2025-06-09 10:04:52.196+0000
37f01811-364c-442e-bb3f-bfd3cb107cdc,-1.2,0.29,-0,61.1,-47.18,28.08,-11,40,-7,2025-06-09 10:03:18.984+0000
42004a36-f5af-4a00-a1ca-4f4deced435b,0.31,-0.25,-0.08,-10.31,152.16,19.35,-22,24,16,2025-06-09 10:04:20.653+0000
f787706e-2c48-4463-b6a2-d1bb8f9cf968,-1.19,-0.01,-0.2,37.54,-1.95,-19.35,-21,38,1,2025-06-09 10:04:32.160+0000
2f70f2c1-ee59-4276-ad44-0ba31a4ff022,-1.02,0.19,-0.02,-56.21,54.38,13.85,14,45,14,2025-06-09 10:03:28.539+0000
e15a061e-3f89-446c-99d6-40ef73ee749a,-2.66,-0.44,0.36,-2.93,56.95,85.14,7,50,7,2025-06-09 10:03:56.083+0000
c0c6a73e-7776-467e-99e7-db8b52322808,-3.23,-1.42,-0.11,78.31,-317.81,-183.59,15,46,4,2025-06-09 10:04:10.124+0000
5e028a14-2b3d-4a2b-835d-f074a2684add,-0.82,-0.05,-0.48,83.37,-83.44,-32.17,10,50,8,2025-06-09 10:03:44.578+0000
13e9071a-6fb8-460d-ade9-9add8493cfba,-1.48,0.15,0.02,53.83,-72.94,-14.53,7,49,0,2025-06-09 10:04:09.100+0000
6b39f256-9b40-46ae-9bdc-f3fc9dbc8cf2,-0.76,-0.56,-0.54,2.93,-52.12,-27.95,-21,38,3,2025-06-09 10:05:04.237+0000
84b79233-33b9-4374-bd69-c173f1dde1b3,-1.85,0.36,-0.22,18.25,71.78,54.87,-26,24,8,2025-06-09 10:04:21.140+0000
122d9db2-91c2-456a-8a89-b6247bf6aab0,-0.83,0.18,-0.13,39.61,60.79,-37.05,7,50,6,2025-06-09 10:03:54.571+0000
b37d2aed-56f4-42ec-8b79-742a265273ce,-3.17,-0.96,-0.69,-114.32,84.29,-14.83,13,50,14,2025-06-09 10:03:39.070+0000
42c9d984-8603-4c2c-8402-628b50c953f9,0.23,0.06,-1.32,47.49,-2.32,-5.37,6,35,3,2025-06-09 10:04:14.608+0000
8ed33060-e169-4df2-850b-507747362bd8,-1.9,-0.37,-0.42,-97.47,205.14,24.41,13,48,12,2025-06-09 10:03:31.514+0000
d28862c9-0adb-43e6-a6a2-a0afdfd0d1ba,0.25,0.07,-1.14,97.23,-121.89,-44.98,-33,35,13,2025-06-09 10:04:47.710+0000
9dac5cc8-9d19-4b86-9b2e-423120d54fc8,-1.42,-0.47,0.06,-31.19,-2.26,24.48,6,49,17,2025-06-09 10:03:22.493+0000
249783b9-f6fa-43e8-a080-3b541bc42e11,-1.27,-0.01,-0.07,45.41,-97.11,-45.9,-33,33,12,2025-06-09 10:04:35.182+0000
a757d0b2-e262-47fb-b817-a231f891c474,-1.29,0.25,-0.07,-56.58,23.07,47.97,-26,39,9,2025-06-09 10:04:31.672+0000
8579535e-667e-46ee-a2a1-c99461d0d0e1,-0.51,-0.23,-0.37,10.86,103.82,4.76,-28,30,-2,2025-06-09 10:05:02.239+0000
112cc3e4-f179-4263-a9d9-86cce593cc5b,-1.1,-0.06,-0.28,-6.65,28.14,14.28,-25,33,-6,2025-06-09 10:05:03.750+0000
a89ce1d3-29e9-4d06-a5ea-3d192b08c0a8,-2.25,-0.24,0.07,-34.85,-51.51,-29.05,-25,29,-6,2025-06-09 10:04:18.118+0000
50eaa07c-c40e-4c07-b3fe-741d6c713074,-1.46,-0.34,0.1,77.51,-47.12,9.28,18,49,4,2025-06-09 10:03:53.060+0000
815cd303-f93a-4fd9-ba14-157c9b98d306,-1.07,-0.52,0.11,-44.01,0.79,26.18,14,43,7,2025-06-09 10:03:20.982+0000
157614aa-5ae4-4978-a196-df031a2de269,-2.81,-0.26,0.24,44.92,46.51,58.53,8,46,18,2025-06-09 10:03:22.006+0000
7e1cff17-d99c-421a-9749-a15f064fdedb,0.49,-0.26,0.03,-34.18,137.02,36.19,-30,36,9,2025-06-09 10:04:40.690+0000
3f0a26bb-422e-494e-83f9-ec16973faeb8,0.36,0,-0.28,-5.68,33.45,-23.68,-14,42,-1,2025-06-09 10:03:16.498+0000
e12c5bcc-d603-40e1-beed-fb230ee4a9ca,-0.81,0.08,0.18,-75.62,85.45,33.75,-28,38,15,2025-06-09 10:04:23.141+0000
5c44b0c5-cea5-45b3-ab10-48ce48f2ed84,-0.01,-0.3,-0.24,-6.96,88.87,23.93,13,44,7,2025-06-09 10:03:21.519+0000
2162baa7-d4e4-43e5-a301-3b1da3731966,-1.64,-0.3,0.02,38.02,-67.87,-42.54,-30,36,9,2025-06-09 10:04:48.197+0000
36db238b-2402-4d58-8dfe-2200eb8a1acd,-1.55,0.13,-0.04,63.11,-21.97,-45.59,6,48,1,2025-06-09 10:03:38.046+0000
e7f42e84-51cf-4ff5-a927-51bf40e542b5,0.14,-0.21,-0.37,21.67,161.00999,47.18,11,46,6,2025-06-09 10:03:55.595+0000
6c765bce-dd1d-4758-9db7-c1f394c4f7ec,-1.28,-0.28,-0.18,-121.34,96.86,1.46,11,48,0,2025-06-09 10:04:05.639+0000
9b133c84-4d60-48bf-8fe4-311b6271ba6f,-0.17,-0.07,-0.43,98.75,-81.36,7.45,-30,36,15,2025-06-09 10:04:59.216+0000
f64c319d-1bfb-47d2-8917-a8ebb522b98b,-1.56,-0.43,0.04,-68.6,-11.66,60,-28,35,3,2025-06-09 10:04:21.628+0000
4186aed0-300c-42ad-933a-0d49f9ae4f44,0.23,-0.36,-0.19,-30.46,114.14,5.25,20,48,20,2025-06-09 10:03:23.030+0000
f9456fa1-6e78-4147-aaa4-a872bceba301,-1.41,-0.28,0.2,-50.84,12.02,34.73,23,43,17,2025-06-09 10:03:25.517+0000
0618731a-3867-4915-84ea-813f1ed353b5,-0.91,0.16,-0.09,-93.08,32.17,25.45,14,51,9,2025-06-09 10:03:46.576+0000
aed45e3f-f466-437d-a977-0b9c2e3e3ae7,-1.69,0.13,-0.08,44.8,-73.79,-41.75,15,49,1,2025-06-09 10:04:04.616+0000
75e233b6-d6e8-4b39-9a3a-4a0d230f7287,-1.49,0.3,-0.02,67.69,-59.88,-41.32,17,47,0,2025-06-09 10:04:07.638+0000
7a52a83f-d284-406f-aca2-8f0a9940c4c0,-1.82,-0.95,0.21,59.75,-66.1,9.95,-32,35,14,2025-06-09 10:04:26.650+0000
8073e17e-a55b-4ea3-9d37-368adacde2b5,-2.16,-0.91,0.17,74.1,-94.06,70.86,-23,33,3,2025-06-09 10:05:02.726+0000
486fba17-ae51-466a-b762-1c54ab53939a,0.34,-0.03,-0.1,-38.82,18.07,-50.72,-30,35,14,2025-06-09 10:04:45.711+0000
33324403-ef61-4a22-b89d-bd51bda401d1,-1.43,-0.41,-0.15,54.99,-103.03,-69.58,-29,38,14,2025-06-09 10:04:56.730+0000
d7755ecc-3fe6-48f7-ba61-cbaaeccce1ab,-1.03,-0.32,-0.03,-47.73,36.13,6.71,-24,39,11,2025-06-09 10:04:43.176+0000
cccee6ee-e15f-4b86-b350-c1b8d10325d9,-1.09,-0.06,-0.14,58.11,-3.05,-24.35,9,51,4,2025-06-09 10:03:44.041+0000
c366f243-c85d-4e50-9141-53c239ba7369,-1.46,0.01,-0.06,-14.28,110.35,47.18,-32,37,16,2025-06-09 10:04:41.177+0000
48bc197f-9c2d-430c-8ea3-7be0a890eb5b,-3.86,-0.94,0.17,-7.87,-217.16,-34.48,-5,42,-2,2025-06-09 10:03:18.496+0000
3b2b5416-7614-4d22-b2f2-8f3ff3fba290,-1.4,0.15,0.1,61.77,-42.72,-24.23,13,48,-3,2025-06-09 10:03:48.575+0000
577cb307-50b4-4b16-b49b-a27a30d41763,-0.49,0.18,-0.59,19.1,1.65,-36.62,-28,39,10,2025-06-09 10:04:55.706+0000
772e63b4-3de6-4cb4-bcf3-9601c5fb9320,-1.67,-0.18,0.12,35.46,-65.73,-11.05,-23,33,15,2025-06-09 10:04:59.704+0000
f9a81430-a696-45c1-a0a3-ddf98105ca83,-1.29,0.18,-0,55.18,-35.03,-27.83,-15,35,-7,2025-06-09 10:05:05.212+0000
0b4ee06b-6603-4e72-87d9-61fdf239c2d5,0.33,-0.03,-0.17,-39.92,94.67,-23.99,12,51,10,2025-06-09 10:04:09.637+0000
6e9fd7a7-df2a-496c-8d62-9d7eaf70f14f,-1.24,-0.37,0.1,-137.63,-24.35,13.49,-7,41,-12,2025-06-09 10:04:17.632+0000
1a2b6312-bd5e-4dff-948f-3c0ffa76d77d,0.56,0.15,-0.19,-13.61,-12.08,-38.82,12,48,6,2025-06-09 10:03:49.063+0000
c8bc276a-5944-4191-bc67-d00a3fc5898c,0.38,0.3,-0.19,-2.26,-20.45,-41.81,-29,34,15,2025-06-09 10:04:24.165+0000
93baa071-fd1f-4a78-98b7-44a95847afb8,-3.03,-1.4,-0.38,-144.89999,155.52,13.98,-19,40,9,2025-06-09 10:04:34.695+0000
82d300b4-9847-4afc-98f8-5d6c5eee6a40,0.45,-0.08,-0.03,-25.15,39.25,-37.41,6,50,7,2025-06-09 10:04:08.125+0000
a6f0b12b-cf57-40f4-b156-c3ab701326e4,0.57,0.1,-0.08,-13.85,50.17,-79.83,-29,38,16,2025-06-09 10:04:34.158+0000
38832635-38e1-48db-a201-f928271037f5,-0.42,-0.28,-0.96,41.02,-49.87,27.16,15,45,15,2025-06-09 10:03:29.515+0000
4980e079-367f-4298-a0d8-5c08c8655aa5,-2.54,-1.09,-0.2,28.5,-118.29,44.86,-30,38,11,2025-06-09 10:04:31.185+0000
52803705-a49f-4f09-98cf-c24ea8159e39,0.54,0.06,-0.08,-37.9,43.09,-27.53,-34,35,11,2025-06-09 10:04:35.670+0000
75dffd41-56e1-4be7-96cd-7a0a27963817,0.36,-0.37,-0.21,-54.93,126.28,30.09,15,49,9,2025-06-09 10:03:54.084+0000
a28cbc87-6ede-4217-8af8-91a6037ccfa5,-1.53,-0.1,0.05,-58.65,-14.83,70.92,-24,37,13,2025-06-09 10:04:30.161+0000
f2d1acc9-adf5-462b-b798-084ac1d64283,0.1,0.38,-1.36,106.69,-28.87,-11.72,5,53,6,2025-06-09 10:04:13.145+0000
