id,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,timestamp
0a0f2209-fd9d-493e-b41d-62e43f0f35eb,0.1,-0.64,0.07,-26.18,108.64,23.07,-15,40,1,2025-05-25 23:59:15.291+0000
22b3c267-8a41-44c0-8915-95bc834d1d85,0.14,-0.47,-0.33,-115.6,66.77,8.97,-6,40,-14,2025-05-25 23:58:07.136+0000
cfa047b5-f444-49ea-a722-0f27758ef408,-0.96,0.31,-0.62,-205.75,65.25,-32.53,8,52,26,2025-05-25 23:59:22.798+0000
5ca6bb85-8e35-46b3-b0df-30f9917107d9,-3.72,-1.91,0.08,28.38,127.87,-20.69,-23,29,-18,2025-05-25 23:58:09.671+0000
4f7c07b6-23fa-49f4-ab73-dacd002d6dfc,-1.33,0.03,-0.17,49.07,161.44,27.65,16,51,2,2025-05-25 23:57:40.616+0000
bd5d84da-db12-4601-9e94-3951473fa79d,0.03,-0.57,-0.27,-116.39,126.59,14.95,-17,43,20,2025-05-25 23:58:53.256+0000
04b7f4b0-7d9f-438c-a28b-869c667f641d,-4,-0.84,-0.59,63.29,-163.02,206.36,-21,36,-2,2025-05-25 23:58:41.701+0000
783ec034-110b-4ee0-82e5-a52aac578692,0.99,-0.46,-0.69,-151.12,170.41,6.53,20,52,15,2025-05-25 23:57:46.126+0000
f09b72af-a248-4315-92ad-aa9ee9855802,1.12,-0.72,-0.55,-5.43,192.99001,22.28,14,49,10,2025-05-25 23:58:23.175+0000
85daf1b1-9663-4fcd-ab32-de85a0771f13,-4,-2.29,2.68,380.25,28.81,100.22,-20,38,3,2025-05-25 23:58:40.727+0000
adbe7fb4-59a9-45b9-98cf-0a4f8e202fb7,0.42,0.5,0.06,-53.1,-13.85,-47,-4,50,25,2025-05-25 23:58:57.740+0000
87e18d9f-9375-448c-8822-9e989430e391,-0.74,-0.46,-1.93,78,-282.78,17.94,-4,49,22,2025-05-25 23:58:58.276+0000
1b83ba3c-ce4c-4545-87e8-07c3b7e2ede4,-2.72,1.5,-2.54,268.25,-620.96997,-110.53,29,45,0,2025-05-25 23:58:01.627+0000
a3854fb8-93fa-44b3-b2ca-69ec9bc373e7,-2.79,0.07,-0.51,76.9,-417.60001,-105.59,17,51,14,2025-05-25 23:57:44.126+0000
5be35e85-660a-472d-b3d6-6fcf59c832f3,0.18,-0.22,-0.36,-135.92999,135.92999,-73.24,-19,41,-6,2025-05-25 23:58:48.722+0000
671582b1-0c04-4e56-b727-7928996c8684,0.18,0.53,-0.63,26,231.50999,-73.24,29,51,9,2025-05-25 23:58:02.164+0000
78ec8cfb-0370-4d33-bff7-0bb3433fb7d0,0.55,-0.72,-0.5,-46.02,-0.61,35.89,16,52,16,2025-05-25 23:57:40.128+0000
259fd6da-bea3-4ed1-be39-591cf322d2b4,-1.34,-0.65,-1.32,28.26,-381.10001,-163.39,-9,45,-9,2025-05-25 23:59:13.292+0000
6d713ad8-efa9-4434-8b64-fe2fd2b5ae04,-2.6,-1.37,0.4,-232.91,81.54,32.47,-18,45,16,2025-05-25 23:58:52.768+0000
7858d030-741f-48af-b3eb-07ecfa8b3937,0.49,-0.46,-0.7,-58.84,197.94,-38.45,4,50,21,2025-05-25 23:59:19.825+0000
5ab62cda-c9d7-47b2-a30f-d71209de2fed,-4,-1.33,0.05,259.95001,62.44,128.36,-24,41,12,2025-05-25 23:58:27.174+0000
ab3dce07-4e74-4fe2-abbd-03a47b3d1c44,-2.63,-1.15,0.24,186.89,90.64,116.58,-10,49,11,2025-05-25 23:59:09.294+0000
9d6a6b06-b1cb-4488-8cdf-88109a3d2282,-0.22,-0.06,-0.71,6.84,57.37,-22.83,-14,42,5,2025-05-25 23:59:11.781+0000
387aaa34-9c85-4032-a861-bf42f4daacd0,-0.82,0.44,-0.67,23.13,-280.03,-150.50999,21,49,10,2025-05-25 23:57:49.636+0000
7d80531c-f38f-4a83-96c7-b7e2166ffcb1,-1.46,-0.5,-1.66,-23.74,-249.57001,-3.11,-4,47,14,2025-05-25 23:59:18.314+0000
62f1a0a2-b7a4-46e9-9191-581e5a7d10e2,0.09,-0.21,-0.86,15.14,-144.78,-47.18,28,53,12,2025-05-25 23:57:57.143+0000
124a877b-6cec-4c11-90e5-989d89ffa965,-3.43,-0.79,-0.91,-152.83,-463.81,-56.15,18,51,21,2025-05-25 23:58:18.690+0000
85842f0c-8ff5-44e6-b301-a640ac8b3941,-2.09,-1.14,-0.23,-31.01,83.13,-87.89,-18,31,-10,2025-05-25 23:58:11.671+0000
698a5469-64a8-47d0-afb8-db43863814cc,0.73,-0.55,0.3,-70.25,199.16,-38.88,-7,49,16,2025-05-25 23:59:05.296+0000
d09eedf3-73cc-4a8b-8d01-921dd51b6e1b,-0.64,0.52,-0.39,-67.2,88.68,-134.34,31,50,3,2025-05-25 23:58:04.651+0000
bebdbe6e-4bd2-48f6-8880-f9b77764cf38,-1.43,0.17,-1.15,7.57,-548.46002,-149.11,24,50,12,2025-05-25 23:57:55.631+0000
862ff5da-2585-45f2-bc36-2e6a9129a7d9,-0.09,0.33,-0.92,-14.89,326.66,-47.3,-21,46,22,2025-05-25 23:58:46.722+0000
444c0cbc-defa-4760-a12c-cc3cf90dbbb1,0.61,0.31,-0.7,22.52,-44.25,-38.7,20,52,13,2025-05-25 23:57:41.639+0000
34d88cf3-5d38-4af6-ac11-f81816166398,-2.75,-0.88,-0.06,119.93,-63.35,202.14999,29,49,6,2025-05-25 23:58:03.627+0000
ac9d7f4d-b1dc-4512-864c-675831963812,-1.1,0.04,-0.06,-22.34,15.26,-43.15,-3,50,24,2025-05-25 23:59:24.310+0000
e173f1a9-7d11-4b68-8609-0b5fbc027861,-0.71,-0.12,-0.47,110.6,0.67,25.7,-7,49,10,2025-05-25 23:59:03.786+0000
dd10df02-ce4e-4a05-a38a-1dc522aa1885,-3.19,-0.5,0.32,179.32001,-4.64,167.60001,32,46,-6,2025-05-25 23:57:49.148+0000
50c6c7ed-d528-47d2-b8b6-5540a99f2947,0.23,-0.2,-0.48,-205.32001,277.10001,4.03,22,50,5,2025-05-25 23:57:56.118+0000
527d87f8-b705-4d40-8b35-d410d446a6c6,-1.05,0.62,-0.78,-246.95,112.79,-20.57,-12,43,4,2025-05-25 23:59:14.803+0000
81558a2d-8030-451e-87f8-61d5f3977525,-1.64,-0.4,-0.53,-14.16,-488.64999,-112.24,24,54,18,2025-05-25 23:57:42.615+0000
7c2dacc9-5d75-4f86-a3c1-21f4f1a464b9,-3.87,0.05,0.99,-13.98,-214.97,327.45001,-7,42,-11,2025-05-25 23:58:30.197+0000
481732e6-1143-4b9f-98d8-0b0bf4fc8d25,0.71,0.07,-0.31,30.94,113.22,-36.62,-19,49,10,2025-05-25 23:58:39.215+0000
fbe2e99a-dadb-40ff-a277-a10fac8913f9,0.11,0.25,-0.96,-4.94,418.51999,-198.3,-5,51,18,2025-05-25 23:58:33.706+0000
ad2ceff7-4e3d-4cdc-b6b5-a72daab2e073,-0.1,0.54,-0.54,52.19,-3.36,-159.78999,-15,43,19,2025-05-25 23:58:41.214+0000
c7ac2ce0-33b2-4e9c-8970-935d5eb50d2c,-0.78,0.43,-0.27,-97.05,59.57,72.08,-12,50,18,2025-05-25 23:59:04.761+0000
